Ean;Sku;Description;Stockbalance;Price(EUR)
;3420388;CT Sienna BB Q270 S1151 Mont/µATX;0;152.12
4712900230727;90MA0031-M00100;ASUS CHROMEBIT-B010C RockChip e-MMC 16G Chrome OS;127;109.30
4712900361391;90MA0021-M00250;ASUS Vivostick TS10-B004D Z8300 Intel HD2GB 1333Mz e-MMC 32G W10 Home Stick;1;121.86
4712900268348;P10S WS;MK Asus P10S WS (ATX, Intel C236, 1151);4;202.44
4712900259575;H110I-PLUS;MK ASUS H110I-PLUS mITX, H110, 1151, DDR4;13;67.34
4712900084436;90MC02V0-M0EAY0;MK ASUS Fan-Extension Card;30;10.40
4712900063424;90MC03F0-M0EAY0;MK ASUS Hyper Kit*;10;13.66
4712900448634;THUNDERBOLT EX III;MK ASUS ThunderboltEX III runs up to 40Gbps;16;54.96
4712900230406;90MC03W0-M0XBN1;MK ASUS TPM-M R2.0 TPM-chip;0;6.14
4712900665369;PRIME X370-PRO;MK ASUS PRIME X370-PRO (ATX, AMD X370, AM4);10;121.97
4712900672060;PRIME A320M-K;MK ASUS PRIME A320M-K (mATX, A320, AM4);0;51.74
4712900268744;P10S-M WS;MK Asus P10S-M WS (mATX, Intel C236, 1151);0;192.53
4712900697100;ROG STRIX X370-F GAMING;MK ASUS ROG STRIX X370-F GAMING;16;136.63
4712900738223;PRIME X370-A;MK ASUS PRIME X370-A;34;117.10
4712900773095;90MB0U50-M0EAY0;MK ASUS ROG STRIX X299-E GAMING (ATX, Intel X299, 2066);5;274.63
4712900774382;90MB0U00-M0EAY0;MK ASUS TUF X299 MARK 1 (ATX, Intel X299, 2066);5;265.40
4712900769432;PRIME X299-A;MK ASUS PRIME X299-A (ATX, Intel X299, 2066);6;251.79
4719072525705;X299 SLI PLUS;MSI X299 SLI PLUS ATX;21;220.15
4719072525965;X299 RAIDER;MSI X299 RAIDER ATX;2;160.47
4712900805536;ROG RAMPAGE VI EXTREME;MK ASUS ROG RAMPAGE VI EXTREME;1;613.72
4712900843460;ROG STRIX X399-E GAMING;MK ASUS ROG STRIX X399-E GAMING;2;351.31
4712900828085;90MB0V80-M0EAY0;MK ASUS PRIME X399-A;6;281.99
4712900848960;TUF Z370-PLUS GAMING;MK ASUS TUF Z370-PLUS GAMING (ATX, Z370, 1151);1;151.85
4719072542986;X399 SLI PLUS;MSI X399 SLI PLUS ATX;1;275.20
4712900810271;90SW0090-M0EAY0;WS X299 PRO (ATX, Intel X299, 2066);2;306.09
4712900842524;90MB0VY0-M0EAY0;MK ASUS B250 MINING EXPERT;2;45.39
4712900774832;90MB0SZ0-M0EAYC;MK ASUS PRIME Q270M-C/CSM (mATX, Q270, 1151) Kaby Lake;14;131.30
4712900774825;90MB0SQ0-M0EAYC;MK ASUS PRIME B250M-C/CSM (mATX, B250, 1151) Kaby Lake;6;80.96
4712900774849;90MB0MK0-M0EAYC;MK ASUS Q170M-C/CSM (mATX, Q170, 1151);8;128.41
4712900611236;90SW0020-M0EAY0;MK Asus WS C621E SAGE (ATX, Intel C621, Socket-P/LGA-3647);2;468.42
4712900853674;90SW0070-M0EAY0;MK Asus WS X299 SAGE (ATX, Intel X299, 2066);5;449.27
4712900810851;90SW0080-M0EAY0;MK Asus WS C422 PRO/SE (ATX, Intel C422, 2066);2;345.62
4719331801977;X299 UD4 Pro;Gigabyte X299 UD4 Pro ATX;3;209.14
4250812421623;134-KS-E377-KR;EVGA Z370 FTW ATX;0;91.60
4250812421395;131-SX-E295-KR;EVGA X299 mATX;0;276.23
4719072562816;H370 GAMING PLUS;MSI H370 GAMING PLUS ATX;8;93.07
4719072562823;B360 GAMING PLUS;MSI B360 GAMING PLUS ATX;14;90.04
4719072564186;B360M GAMING PLUS;MSI B360M GAMING PLUS mATX;18;78.05